,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
184,LAL,Anthony Davis,3,PF,29,82,253,Kentucky,"$37,980,720"
185,LAL,Wenyen Gabriel,35,F,25,81,205,Kentucky,"$1,878,720"
186,LAL,Rui Hachimura,28,PF,25,80,230,Gonzaga,"$6,263,188"
187,LAL,LeBron James,6,SF,38,81,250,--,"$44,474,988"
188,LAL,Scotty Pippen Jr.,14,G,22,74,170,Vanderbilt,--
189,LAL,Austin Reaves,15,SG,24,77,197,Oklahoma,"$1,563,518"
190,LAL,Davon Reed,9,SG,27,77,206,Miami (FL),"$1,902,133"
191,LAL,D'Angelo Russell,0,PG,26,76,193,Ohio State,"$31,377,750"
192,LAL,Dennis Schroder,17,PG,29,73,172,--,"$1,836,090"
193,LAL,Cole Swider,20,F,23,81,220,Syracuse,--
194,LAL,Jarred Vanderbilt,8,PF,23,80,214,Kentucky,"$4,050,000"
195,LAL,Lonnie Walker IV,4,G,24,76,204,Miami (FL),"$6,479,000"
196,IND,Goga Bitadze,88,C,23,83,250,--,"$4,765,339"
197,IND,Oshae Brissett,12,SF,24,79,210,Syracuse,"$1,846,738"
198,IND,Kendall Brown,10,SG,19,79,205,Baylor,--
199,IND,Chris Duarte,3,SG,25,77,190,Oregon,"$3,936,960"
200,IND,Tyrese Haliburton,0,PG,22,77,185,Iowa State,"$4,215,120"
201,IND,Buddy Hield,24,SG,30,76,220,Oklahoma,"$22,768,890"
202,IND,George Hill,3,PG,36,76,188,IUPUI,"$4,000,000"
203,IND,Serge Ibaka,25,F,33,82,235,--,"$1,836,090"
204,IND,Isaiah Jackson,22,SF,21,81,205,Kentucky,"$2,573,760"
205,IND,James Johnson,16,PF,35,79,240,Wake Forest,"$1,836,090"
206,IND,Bennedict Mathurin,00,SG,20,77,210,Arizona,"$6,586,800"
207,IND,T.J. McConnell,9,PG,30,73,190,Arizona,"$8,100,000"
208,IND,Andrew Nembhard,2,PG,23,75,191,Gonzaga,"$2,244,111"
209,IND,Aaron Nesmith,23,SF,23,77,215,Vanderbilt,"$3,804,360"
210,IND,Jordan Nwora,13,SF,24,80,225,Louisville,"$3,000,000"
211,IND,Trevelin Queen,8,SG,25,78,190,New Mexico State,"$1,637,966"
212,IND,Jalen Smith,25,PF,22,81,215,Maryland,"$4,670,160"
213,IND,Terry Taylor,21,SF,23,76,230,Austin Peay,"$1,563,518"
214,IND,Daniel Theis,27,C,30,80,245,--,"$8,694,369"
215,IND,Myles Turner,33,C,26,83,250,Texas,"$35,096,500"
216,TOR,Precious Achiuwa,5,PF,23,80,225,Memphis,"$2,840,160"
217,TOR,O.G. Anunoby,3,SF,25,79,232,Indiana,"$17,357,143"
218,TOR,Dalano Banton,45,PG,23,79,204,Nebraska,"$1,563,318"
219,TOR,Scottie Barnes,4,SF,21,80,225,Florida State,"$7,644,720"
220,TOR,Chris Boucher,25,PF,30,81,200,Oregon,"$12,690,000"
